vid,birth,death,parentid,level,bindingAvidIni,bindingAvid,infection_no,distance_to_parent,distance_to_root, immK
7862,-8,-5,7476,1,0.8,0.8,0,6.07065e-05,6.07065e-05,0
7863,-8,-6,7574,2,0.8,0.8,0,0,0,0
7864,-8,-4,7588,2,0.8,0.8,0,0.0003251,0.0003251,0
7865,-8,-7,7510,1,0.8,0.8,0,0,0,0
7866,-8,-4,7470,1,0.8,0.8,0,0,0,0
7867,-8,-11,7630,2,0.8,0.8,0,0.0199816,0.0199816,0
7868,-8,0,7551,1,0.8,0.8,0,0,0,0
7869,-8,-7,7623,3,0.8,0.8,0,0,0,0
7870,-7,-4,7657,3,0.8,0.8,0,0.00593291,0.00593291,0
7871,-7,-6,7661,3,0.8,0.8,0,0,0,0
7872,-7,-5,7721,2,0.8,0.8,0,0,0.0307965,0
7873,-7,-6,7477,1,0.8,0.8,0,0,0.00880223,0
7874,-7,-3,7651,2,0.8,0.8,0,0.0273229,0.0273229,0
7875,-7,-6,7777,3,0.8,0.8,0,0,0.006299,0
7876,-7,-6,7464,1,0.8,0.8,0,0,0,0
7877,-7,-6,7588,2,0.8,0.8,0,0,0,0
7878,-7,-6,7498,1,0.8,0.8,0,0,0,0
7879,-7,-4,7735,4,0.8,0.8,0,0,0,0
7880,-7,-1,7645,2,0.8,0.8,0,0,0,0
7881,-7,-6,7851,2,0.8,0.8,0,0,0,0
7882,-7,-11,7717,2,0.8,0.8,0,0.00491814,0.00491814,0
7883,-7,-2,7866,2,0.8,0.8,0,0.0190672,0.0190672,0
7884,-7,-3,7681,3,0.8,0.8,0,0,0,0
